Ia, Ib, Ic, Va, Vb, Vc
-1.785, 1.544, -0.726, 0.468, 0.483, 0.453
-1.865, 2.189, 0.886, 0.468, 0.483, 0.453
-2.107, 2.108, 0.966, 0.468, 0.483, 0.453
-1.946, 2.592, 1.127, 0.468, 0.483, 0.453
-2.107, 1.786, 0.322, 0.468, 0.483, 0.453
-2.429, 0.497, -0.001, 0.468, 0.483, 0.453
-1.140, 0.497, 1.450, 0.468, 0.483, 0.453
-1.060, -0.067, 1.611, 0.468, 0.483, 0.453
-1.301, -0.631, 1.772, 0.468, 0.483, 0.453
-1.140, -0.309, 2.094, 0.468, 0.483, 0.453
-1.060, 0.013, 2.014, 0.468, 0.483, 0.453
-1.301, -0.631, 1.208, 0.468, 0.483, 0.453
-0.415, -0.389, 1.369, 0.468, 0.483, 0.453
-0.093, -1.195, 0.563, 0.468, 0.483, 0.453
0.149, -1.920, 0.483, 0.468, 0.483, 0.453
0.310, -0.953, 1.933, 0.468, 0.483, 0.453
-0.254, -1.115, 1.933, 0.468, 0.483, 0.453
-0.093, -1.034, 1.208, 0.468, 0.483, 0.453
0.068, -1.034, 0.080, 0.468, 0.483, 0.453
1.035, -0.551, -0.162, 0.468, 0.483, 0.453
1.599, -0.631, -0.726, 0.468, 0.483, 0.453
1.760, -0.953, -0.726, 0.468, 0.483, 0.453
1.841, -1.034, -0.081, 0.468, 0.483, 0.453
1.599, -0.631, 0.322, 0.468, 0.483, 0.453
1.277, -0.389, -0.403, 0.468, 0.483, 0.453
0.632, -0.148, -1.128, 0.468, 0.483, 0.453
0.149, -0.470, -2.418, 0.468, 0.483, 0.453
1.438, 0.175, -1.290, 0.468, 0.483, 0.453
1.357, -0.148, -1.370, 0.468, 0.483, 0.453
1.116, 0.658, -0.967, 0.468, 0.483, 0.453
0.310, 0.819, -0.645, 0.468, 0.483, 0.453
-0.818, 1.625, -0.967, 0.468, 0.483, 0.453
-0.737, 2.028, -0.887, 0.468, 0.483, 0.453
-2.026, 1.061, -1.854, 0.468, 0.483, 0.453
-0.979, 1.786, -1.048, 0.468, 0.483, 0.453
-0.737, 1.383, -0.403, 0.468, 0.483, 0.453
-1.060, 1.302, -0.081, 0.468, 0.483, 0.453
-2.026, 1.061, 0.886, 0.468, 0.483, 0.453
-2.268, 1.222, 1.450, 0.468, 0.483, 0.453
-2.510, 1.222, 1.691, 0.468, 0.483, 0.453
-2.590, 0.819, 1.289, 0.468, 0.483, 0.453
-2.107, 0.980, 1.611, 0.468, 0.483, 0.453
-1.865, 0.094, 2.014, 0.468, 0.483, 0.453
-1.301, -0.309, 3.061, 0.468, 0.483, 0.453
-1.462, -0.953, 3.222, 0.468, 0.483, 0.453
-1.382, -1.034, 3.142, 0.468, 0.483, 0.453
-1.221, -1.034, 2.980, 0.468, 0.483, 0.453
-1.301, -1.437, 2.094, 0.468, 0.483, 0.453
-0.979, -2.726, 1.289, 0.468, 0.483, 0.453
1.035, -2.162, 2.014, 0.468, 0.483, 0.453
0.793, -3.370, 0.805, 0.468, 0.483, 0.453
0.793, -3.370, 1.289, 0.468, 0.483, 0.453
1.438, -2.404, 1.450, 0.468, 0.483, 0.453
1.599, -2.001, 0.805, 0.468, 0.483, 0.453
2.163, -1.598, -0.242, 0.468, 0.483, 0.453
2.888, -1.437, -1.128, 0.468, 0.483, 0.453
3.210, -1.115, -1.531, 0.468, 0.483, 0.453
3.533, -0.712, -1.370, 0.468, 0.483, 0.453
2.566, -1.598, -1.934, 0.468, 0.483, 0.453
2.485, -0.712, -1.531, 0.468, 0.483, 0.453
2.002, -0.148, -2.095, 0.468, 0.483, 0.453
1.760, 0.497, -2.579, 0.468, 0.483, 0.453
2.002, 0.819, -2.901, 0.468, 0.483, 0.453
2.163, 0.980, -2.981, 0.468, 0.483, 0.453
2.244, 0.819, -2.740, 0.468, 0.483, 0.453
1.438, 0.497, -2.579, 0.468, 0.483, 0.453
0.793, 1.625, -1.773, 0.468, 0.483, 0.453
-0.093, 2.028, -1.531, 0.468, 0.483, 0.453
-0.737, 2.028, -2.015, 0.468, 0.483, 0.453
-0.496, 2.672, -1.128, 0.468, 0.483, 0.453
-0.335, 2.028, -1.370, 0.468, 0.483, 0.453
-1.704, 0.336, -2.176, 0.468, 0.483, 0.453
-0.173, 1.786, 0.322, 0.468, 0.483, 0.453
-1.785, 0.336, -0.001, 0.468, 0.483, 0.453
-1.462, 0.819, 1.289, 0.468, 0.483, 0.453
-1.624, 0.819, 1.127, 0.468, 0.483, 0.453
-1.462, 0.980, 0.805, 0.468, 0.483, 0.453
-1.462, 0.497, 0.483, 0.468, 0.483, 0.453
-1.140, -0.309, 0.966, 0.468, 0.483, 0.453
-1.140, -0.953, 1.450, 0.468, 0.483, 0.453
-1.462, -2.323, 1.289, 0.468, 0.483, 0.453
-0.254, -0.792, 2.255, 0.468, 0.483, 0.453
-1.301, -1.195, 1.852, 0.468, 0.483, 0.453
-1.865, -1.356, 0.886, 0.468, 0.483, 0.453
-0.898, -0.953, 0.805, 0.468, 0.483, 0.453
0.471, -0.873, 1.208, 0.468, 0.483, 0.453
0.310, -1.598, 0.966, 0.468, 0.483, 0.453
0.955, -1.356, 1.772, 0.468, 0.483, 0.453
0.149, -1.920, 0.966, 0.468, 0.483, 0.453
0.874, -0.551, 1.369, 0.468, 0.483, 0.453
0.713, -0.631, 0.483, 0.468, 0.483, 0.453
1.116, -0.712, -0.726, 0.468, 0.483, 0.453
1.599, -0.470, -0.806, 0.468, 0.483, 0.453
1.921, -0.389, -0.806, 0.468, 0.483, 0.453
0.149, -2.081, -2.095, 0.468, 0.483, 0.453
1.116, -0.953, -0.645, 0.468, 0.483, 0.453
1.357, 0.255, -0.403, 0.468, 0.483, 0.453
0.391, 0.094, -1.854, 0.468, 0.483, 0.453
0.793, 1.222, -1.854, 0.468, 0.483, 0.453
0.955, 1.222, -2.095, 0.468, 0.483, 0.453
1.599, 1.141, -1.773, 0.468, 0.483, 0.453
0.552, 0.739, -2.256, 0.468, 0.483, 0.453
-0.415, 0.497, -2.498, 0.468, 0.483, 0.453
-0.335, 1.705, -1.370, 0.468, 0.483, 0.453
-2.026, 1.061, -2.176, 0.468, 0.483, 0.453
-0.898, 2.350, -1.370, 0.468, 0.483, 0.453
-0.737, 2.028, -1.531, 0.468, 0.483, 0.453
-0.093, 1.866, -1.209, 0.468, 0.483, 0.453
-0.737, 1.705, -0.564, 0.468, 0.483, 0.453
-1.221, 1.383, 0.402, 0.468, 0.483, 0.453
-1.382, 1.222, 0.886, 0.468, 0.483, 0.453
-1.865, 0.900, 0.725, 0.468, 0.483, 0.453
-1.301, 1.464, 1.047, 0.468, 0.483, 0.453
-2.349, 0.336, -0.001, 0.468, 0.483, 0.453
-0.737, 0.255, 1.289, 0.468, 0.483, 0.453
-1.301, -1.115, 0.805, 0.468, 0.483, 0.453
-0.576, -0.712, 2.416, 0.468, 0.483, 0.453
-0.657, -0.873, 2.578, 0.468, 0.483, 0.453
-0.979, -0.792, 2.094, 0.468, 0.483, 0.453
-0.979, -0.470, 1.933, 0.468, 0.483, 0.453
-0.496, -0.953, 1.691, 0.468, 0.483, 0.453
0.471, -1.678, 1.691, 0.468, 0.483, 0.453
0.552, -2.565, 1.289, 0.468, 0.483, 0.453
0.955, -2.404, 1.772, 0.468, 0.483, 0.453
0.068, -2.645, 1.127, 0.468, 0.483, 0.453
0.793, -1.759, 1.450, 0.468, 0.483, 0.453
0.955, -1.437, 0.805, 0.468, 0.483, 0.453
1.035, -1.437, -0.403, 0.468, 0.483, 0.453
2.244, -0.792, -0.323, 0.468, 0.483, 0.453
