Ia, Ib, Ic, Va, Vb, Vc
-1.060, 2.269, -1.854, 0.468, 0.483, 0.453
-0.898, 2.269, -1.209, 0.468, 0.483, 0.453
-1.060, 1.866, -0.403, 0.468, 0.483, 0.453
-2.026, 1.383, 0.080, 0.468, 0.483, 0.453
-2.188, 1.866, 0.886, 0.468, 0.483, 0.453
-2.510, 1.544, 0.886, 0.468, 0.483, 0.453
-2.026, 1.625, 0.725, 0.468, 0.483, 0.453
-1.946, 1.141, 0.483, 0.468, 0.483, 0.453
-1.221, 0.980, 1.369, 0.468, 0.483, 0.453
-1.140, -0.148, 1.772, 0.468, 0.483, 0.453
-2.268, -1.840, 0.966, 0.468, 0.483, 0.453
-1.140, -1.115, 2.175, 0.468, 0.483, 0.453
-1.221, -1.034, 1.852, 0.468, 0.483, 0.453
-0.898, -1.195, 1.208, 0.468, 0.483, 0.453
-0.496, -1.437, 1.289, 0.468, 0.483, 0.453
0.874, -1.517, 1.369, 0.468, 0.483, 0.453
1.277, -2.323, 1.450, 0.468, 0.483, 0.453
0.632, -2.887, 0.563, 0.468, 0.483, 0.453
0.955, -2.081, 1.450, 0.468, 0.483, 0.453
1.035, -1.759, 1.289, 0.468, 0.483, 0.453
0.955, -2.001, -0.162, 0.468, 0.483, 0.453
0.955, -2.242, -1.854, 0.468, 0.483, 0.453
2.566, -0.953, -1.128, 0.468, 0.483, 0.453
2.888, -1.115, -1.451, 0.468, 0.483, 0.453
1.760, -1.920, -1.934, 0.468, 0.483, 0.453
2.163, -1.034, -0.887, 0.468, 0.483, 0.453
1.680, -0.389, -1.048, 0.468, 0.483, 0.453
1.841, 0.739, -1.370, 0.468, 0.483, 0.453
1.519, 0.819, -2.095, 0.468, 0.483, 0.453
1.196, 0.739, -2.579, 0.468, 0.483, 0.453
1.277, 0.980, -2.095, 0.468, 0.483, 0.453
0.149, -0.067, -2.981, 0.468, 0.483, 0.453
0.149, 0.980, -2.095, 0.468, 0.483, 0.453
-0.335, 1.786, -1.290, 0.468, 0.483, 0.453
-1.060, 2.028, -1.531, 0.468, 0.483, 0.453
-1.382, 1.705, -1.854, 0.468, 0.483, 0.453
-0.737, 2.350, -1.370, 0.468, 0.483, 0.453
-0.415, 2.028, -1.209, 0.468, 0.483, 0.453
